Loan Number,Country / Economy,Region,Loan Status,Original Principal Amount (US$),Disbursed Amount (US$),Undisbursed Amount (US$),Cancelled Amount (US$),Repaid to IBRD (US$),Due to IBRD (US$),loan_age_years,repayment_ratio,interest_rate,reason,combined_score
IBRDG2570,Argentina,LATIN AMERICA AND CARIBBEAN,Effective,3.0124404847373603,0.0,2.9284662134997483,3.001756749621429,0.0,0.0,8.462696783025326,0.0,0.0,loan_age_years,4.242249663857083
IBRDG2390,Croatia,EUROPE AND CENTRAL ASIA,Signed,3.013682661361803,0.0,2.92598294019775,2.988275725757582,0.0,0.0,13.177275838466803,0.0,0.0,loan_age_years,4.105563485566082
IBRDG2030,Botswana,EASTERN AND SOUTHERN AFRICA,Effective,3.0109743888264693,0.0,2.9961161311885887,2.942095058868716,0.0,0.0,16.83778234086242,0.0,0.0,loan_age_years,3.9264264293769813
IBRD90090,Indonesia,EAST ASIA AND PACIFIC,Effective,2.987001564525397,0.0,2.943907145307067,2.9579349618474504,0.0,0.0,6.929500342231348,0.0,0.0,loan_age_years,3.47650551079995
IBRDG2300,Nigeria,WESTERN AND CENTRAL AFRICA,Effective,2.9777630040964063,0.0,2.9003302235766393,2.96427568584245,0.0,0.0,12.334017796030116,0.0,0.0,loan_age_years,3.376657985441808
IBRDG2310,Nigeria,WESTERN AND CENTRAL AFRICA,Effective,2.975682733540437,0.0,2.9687218822604056,2.864514410355554,0.0,0.0,12.334017796030116,0.0,0.0,loan_age_years,3.315748829586251
IBRD00140,Belgium,EUROPE AND CENTRAL ASIA,Fully Repaid,2.8672224996255626,2.8672224996255626,0.0,0.0,0.0,0.0,77.55783709787816,0.0,0.0,loan_age_years,3.1070499678895196
IBRDG2410,Pakistan,"MID EAST,NORTH AFRICA,AFG,PAK",Effective,3.0376304218508845,0.0,2.9537124561842822,3.0276777499429497,0.0,0.0,10.193018480492814,0.0,0.0,loan_age_years,2.9532391677472116
IBRDG2460,Argentina,LATIN AMERICA AND CARIBBEAN,Effective,3.044012625121991,0.0,3.019216612990723,2.999615973907767,0.0,0.0,9.503080082135524,0.0,0.0,loan_age_years,2.8561006798685216
IBRD01630,Netherlands,EUROPE AND CENTRAL ASIA,Fully Repaid,2.8635463083350072,2.8635463083350072,0.0,0.0,0.0,0.0,69.29774127310061,0.0,0.0,loan_age_years,2.714450833212048
IBRD40730,Slovenia,EUROPE AND CENTRAL ASIA,Terminated,2.878980975474719,0.0,0.0,0.0,0.0,0.0,30.09993155373032,0.0,0.0,loan_age_years,2.1026635582827478
