Country / Economy,cluster,segment_name,total_commitments,total_disbursed,total_repaid,total_outstanding,num_loans,avg_loan_size,avg_repayment_ratio,avg_risk_score,avg_loan_age,cancellation_rate,active_loans_count
India,0,Low Risk Large,90899256777.0,61513633809.08,37711431168.71,23671617567.39,439,207059810.4259681,0.5993434493416806,0.307744874715262,26.39014997372848,3.8724373576309796,187
Brazil,0,Low Risk Large,76015748349.75,59289645780.5,43146391143.52,16097424580.27,530,143425940.28254718,0.7405210103986266,0.19009433962264152,29.336737566670543,0.7547169811320755,136
Indonesia,0,Low Risk Large,72446978591.0,55731872646.92,33808236699.27,21835551900.5,657,110269373.80669712,0.770525584233226,0.14885844748858448,32.54946206649394,1.21765601217656,112
Turkiye,0,Low Risk Large,63912235500.0,42600694176.6,27338777311.48,15152921017.31,372,171807084.67741936,0.7132105928060952,0.18763440860215058,29.776960838430007,0.2688172043010753,94
Mexico,0,Low Risk Large,62270150464.69,54552631781.9,40979441251.0,13480853919.210001,384,162161850.16846356,0.8316615575479313,0.10039062500000001,35.53100045630847,2.864583333333333,9
China,0,Low Risk Large,60175947142.81,49104502056.59,35403072779.01,13785169829.92,497,121078364.47245473,0.6637047583871091,0.2575452716297787,24.1152321182399,2.8169014084507045,179
Argentina,0,Low Risk Large,48246653000.0,37183700434.55,24455125511.18,12715786361.63,295,163547976.27118644,0.6564848854402687,0.2332203389830509,26.08641863594705,1.3559322033898304,74
Philippines,0,Low Risk Large,38039565115.0,28690126743.92,11619368635.19,17023849671.79,310,122708274.56451613,0.7791474543682253,0.15725806451612906,34.03918659336292,2.258064516129032,51
Colombia,0,Low Risk Large,35779488070.88,32770864416.59,15784985114.75,16938244252.81,287,124667205.82188152,0.8103042552530748,0.12386759581881535,35.41300288332892,1.3937282229965158,30
Ukraine,0,Low Risk Large,31365148577.0,26156638835.22,7602051130.41,18557037591.92,116,270389211.87068963,0.4157742802649824,0.42155172413793107,13.222308763482735,4.310344827586207,68
Morocco,0,Low Risk Large,29699314000.0,23413421740.63,10348760380.5,13112420921.2,328,90546689.02439025,0.7367749006635508,0.18475609756097564,30.53032503630991,0.9146341463414633,80
"Egypt, Arab Republic Of",0,Low Risk Large,25547450000.0,20132864331.81,7758720121.32,12366664290.69,126,202757539.68253967,0.6658850652946726,0.2694444444444445,29.396738480927393,4.761904761904762,47
Peru,0,Low Risk Large,19728489000.0,14546922118.24,9585977552.93,4942630436.61,201,98151686.56716418,0.6983156465604866,0.19875621890547265,30.617140171830783,4.477611940298507,29
