Country / Economy,total_commitment,total_outstanding,avg_repayment_ratio,avg_risk,loan_count,umap_x,umap_y
Bangladesh,21414024759.62,8831533153.11,0.47400638780204174,0.5259936121979583,76,14.90871,-2.9990602
Brazil,16595243202.45,7684849601.42,0.4050857594501514,0.5949142405498486,51,17.519709,-1.1680943
Colombia,18230792436.43,9400744588.37,0.4835164664262767,0.5164835335737233,61,17.060368,-2.5589592
Egypt,23172032000.5,9374734623.89,0.4027723646943837,0.5972276353056163,75,14.23852,-2.3000124
Ghana,20521119905.36,8131863453.95,0.4385623691253533,0.5614376308746467,65,15.180152,-3.7570963
India,19905168221.170002,8316122420.64,0.38879612833312294,0.6112038716668771,66,15.859012,-2.9881318
Indonesia,18966069180.03,7972150351.53,0.4408202809003602,0.5591797190996398,72,17.09663,-3.2884405
Jordan,15969309706.49,6493464562.37,0.49464553596798155,0.5053544640320184,61,17.600597,-0.62823033
Kenya,18753350364.34,7902063311.21,0.4776877624896006,0.5223122375103995,66,16.421103,-2.2737584
Mexico,20083482581.83,8675283376.32,0.41575725533259517,0.5842427446674048,69,15.431531,-3.3410785
Morocco,21117631742.35,10533338360.0,0.48740249889136733,0.5125975011086327,69,14.410394,-2.9202025
Nepal,19853445958.92,7990749551.48,0.4488188984021192,0.5511811015978807,70,16.053455,-3.6669092
Nigeria,17100625904.97,7202894099.2,0.5326538409925636,0.4673461590074363,56,18.090391,-0.6127708
Pakistan,17530499658.9,7797652345.58,0.421248415898559,0.578751584101441,67,17.244272,-1.5484155
Peru,19086220062.75,8215778923.51,0.47886541415472,0.52113458584528,64,16.60877,-2.9506807
Philippines,22907164420.63,9510347631.56,0.4551337330356821,0.544866266964318,77,14.974833,-2.3243935
Tanzania,17159686472.34,7315326984.309999,0.47918427319597023,0.5208157268040298,53,18.034565,-1.2962005
Vietnam,26665850333.32,10920783323.06,0.48701217584621204,0.512987824153788,82,14.578401,-1.8999559
