year,commitments_billions,outstanding_billions,base_commitment_billions,base_outstanding_billions,base_case_commitments,best_case_commitments,worst_case_commitments
1990,15.22651755231,0.03990920864,,,,,
1991,17.0207,0.019534731149999998,,,,,
1992,15.5507,0.10409747302,,,,,
1993,15.2281,-1.0000000000000001e-11,,,,,
1994,16.82402714281,0.08168239727,,,,,
1995,16.11457,1.0000000000000001e-11,,,,,
1996,15.98206,0.0,,,,,
1997,18.3676,-1.0000000000000001e-11,,,,,
1998,24.997104,1.274e-08,,,,,
1999,14.03844,-0.10050743109,,,,,
2000,11.07924,-0.09565058978,,,,,
2001,13.7963394323,-0.42764236905,,,,,
2002,10.52372,-0.008392659059999997,,,,,
2003,10.443395303,-0.0026246931499999985,,,,,
2004,12.557441,-0.0771395993,,,,,
2005,14.357321805,0.1905789672,,,,,
2006,13.399386070879999,0.34909379551999997,,,,,
2007,11.252372,0.7569508629,,,,,
2008,22.55210788,8.22085596812,,,,,
2009,39.706864739,14.65721901268,,,,,
2010,36.120200507,19.35713643737,,,,,
2011,21.126151327,9.42146510322,,,,,
2012,21.16214379699,10.318598571790002,,,,,
2013,16.1176943197,9.03273572529,,,,,
2014,25.832615,15.60340240289,,,,,
2015,25.736595837,16.48359351725,,,,,
2016,22.3356248,14.56509068741,,,,,
2017,18.859357115,13.03777828253,,,,,
2018,20.32213,13.73428107507,,,,,
2019,23.275496,16.84713506469,,,,,
2020,32.1106445,24.05682331923,,,,,
2021,29.54337,20.95279125143,,,,,
2022,32.294717576,21.74392910187,,,,,
2023,43.529584745,27.035532388630003,,,,,
2024,39.989658152,20.49203355121,,,,,
2025,42.011818184,14.518327132,,,,,
2026,40.13283871175,7.35842862887,,,,,
2027,,,39.19202613138038,6.2504896149103,39.19202613138038,44.146122582925,34.112912904987496
2028,,,38.61960830292507,6.176853881437476,38.61960830292507,48.5607348412175,28.99597596923937
2029,,,38.27133259193834,6.1719599105818945,38.27133259193834,53.41680832533926,24.646579573853465
2030,,,38.05943148607894,6.17163464797357,38.05943148607894,58.758489157873186,20.949592637775442
2031,,,37.93050466962878,6.171613030402176,37.93050466962878,64.63433807366052,17.80715374210913
