End of Period,Loan Number,Region,Country / Economy Code,Country / Economy,Borrower,Guarantor Country / Economy Code,Guarantor,Loan Type,Loan Status,Interest Rate,Currency of Commitment,Project ID,Project Name,Original Principal Amount (US$),Cancelled Amount (US$),Undisbursed Amount (US$),Disbursed Amount (US$),Repaid to IBRD (US$),Due to IBRD (US$),Exchange Adjustment (US$),Borrower's Obligation (US$),Sold 3rd Party (US$),Repaid 3rd Party (US$),Due 3rd Party (US$),Loans Held (US$),First Repayment Date,Last Repayment Date,Agreement Signing Date,Board Approval Date,Effective Date (Most Recent),Closed Date (Most Recent),Last Disbursement Date,Board approval - Fiscal year,Board approval - Calendar year,loan_age_days,loan_age_years,disbursed_percent,cancelled_percent,undisbursed_percent,repayment_ratio,outstanding_ratio,net_disbursed,is_active,is_fully_repaid,is_cancelled,is_closed,is_guarantee,loan_size_category,age_category,approval_year,approval_decade,portfolio_status,risk_score,risk_score_original
2026-08-31,IBRD87030,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Repaying,0.0,,P153173,Anhui Road Maintenance Innovation,150000000.0,12094000.66,0.0,137905999.34,23646955.0,114259044.34,0.0,114259044.34,0.0,0.0,0,114259044.34,2023-05-15,2036-11-15,2017-04-11,2017-02-21,2017-08-17,2025-10-31,2026-04-07,2017,2017,3478,9.522245037645447,91.93733289333332,8.062667106666668,0.0,0.1714715466562094,0.8285284533437905,125811998.68,True,False,False,True,False,Medium,5-10,2017,2010,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD87040,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Repaying,0.0,,P153604,Poyang Lake Water Environment Management,150000000.0,14102831.83,0.0,135897168.17,6237680.03,129659488.14,0.0,129659488.14,0.0,0.0,0,129659488.14,2025-09-15,2042-03-15,2017-06-06,2017-03-16,2017-10-13,2022-12-31,2023-05-24,2017,2017,3455,9.45927446954141,90.59811211333331,9.401887886666668,0.0,0.0459000000809214,0.9540999999190786,121794336.34,True,False,False,True,False,Medium,5-10,2017,2010,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD87200,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Repaying,0.0,,P154623,China: Gansu TVET Project,120000000.0,1419267.45,0.0,118580732.55,16402743.76,102177988.79,0.0,102177988.79,0.0,0.0,0,102177988.79,2023-03-01,2047-03-01,2017-06-26,2017-03-31,2017-10-20,2023-06-30,2023-12-13,2017,2017,3440,9.418206707734427,98.817277125,1.182722875,0.0,0.1383255391265501,0.86167446087345,117161465.1,True,False,False,True,False,Medium,5-10,2017,2010,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD87440,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Repaying,0.0,,P154984,China Health Reform Program,600000000.0,1914958.33,0.0,598006362.38,82332293.28,515674069.1,1511927.12,517185996.22,0.0,0.0,0,515674069.1,2022-10-01,2051-04-01,2017-06-30,2017-05-09,2017-09-11,2021-12-31,2022-08-16,2017,2017,3401,9.311430527036276,99.66772706333332,0.3191597216666667,0.0,0.137677955385502,0.862322044614498,596091404.05,True,False,False,True,False,Mega,5-10,2017,2010,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD87660,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Repaying,0.0,,P153473,Three Gorges Modern Logistics Center,200000000.0,11095390.61,0.0,188904609.39,13563431.56,175341177.83,0.0,175341177.83,0.0,0.0,0,175341177.83,2023-11-01,2047-05-01,2017-09-01,2017-06-30,2017-12-27,2024-12-31,2025-08-21,2017,2017,3349,9.169062286105408,94.452304695,5.547695305,0.0,0.0718004267010649,0.9281995732989352,177809218.77999997,True,False,False,True,False,Large,5-10,2017,2010,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD87770,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Repaying,0.0,,P153115,Hunan Integr. Manag of Agri Land Project,100000000.0,2692621.81,0.0,97307378.19,14329905.34,82977472.85,0.0,82977472.85,0.0,0.0,0,82977472.85,2023-12-01,2043-06-01,2017-12-11,2017-08-22,2018-03-07,2023-12-31,2024-06-13,2018,2017,3296,9.023956194387406,97.30737819,2.69262181,0.0,0.1472643247259193,0.8527356752740807,94614756.38,True,False,False,True,False,Medium,5-10,2017,2010,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD87910,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Repaying,0.0,,P154621,China: Guangdong Compulsory Education,120000000.0,2593846.07,0.0,117406153.93,12856318.89,104549835.04,0.0,104549835.04,0.0,0.0,0,104549835.04,2023-05-01,2042-11-01,2018-01-16,2017-10-31,2018-04-02,2023-11-30,2024-05-28,2018,2017,3226,8.83230663928816,97.83846160833332,2.1615383916666664,0.0,0.109502938812434,0.890497061187566,114812307.86,True,False,False,True,False,Medium,5-10,2017,2010,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD88000,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Repaying,0.0,,P147009,Jiangxi Farm Produce Distribution System,150000000.0,3422598.99,0.0,146577401.01,23754017.03,122823383.98,0.0,122823383.98,0.0,0.0,0,122823383.98,2023-06-01,2041-12-01,2018-03-05,2017-12-15,2018-05-15,2025-06-30,2025-12-11,2018,2017,3181,8.709103353867214,97.71826734,2.28173266,0.0,0.1620578402012969,0.8379421597987031,143154802.01999998,True,False,False,True,False,Medium,5-10,2017,2010,Early Stage,3.900000000000001,0.6500000000000001
2026-08-31,IBRD88370,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Repaying,0.0,,P158713,Liaoning Safe and Sustainable Urban WS,250000000.0,103486796.88,0.0,146513203.12,14747939.52,131765263.6,0.0,131765263.6,0.0,0.0,0,131765263.6,2024-11-01,2044-05-01,2018-08-06,2018-06-06,2018-10-23,2024-06-30,2024-12-05,2018,2018,3008,8.235455167693361,58.605281248,41.394718752,0.0,0.1006594573454302,0.8993405426545696,43026406.24000001,True,False,False,True,False,Large,5-10,2018,2010,Early Stage,4.500000000000001,0.7500000000000001
2026-08-31,IBRD88490,EAST ASIA AND PACIFIC,CN,China,MINISTRY OF FINANCE,CN,China,FSL,Repaying,0.0,,P158760,Jiangxi IRUWSWMP,200000000.0,0.0,0.0,200000000.0,11517106.57,188482893.43,0.0,188482893.43,0.0,0.0,0,188482893.43,2024-06-01,2046-12-01,2018-07-11,2018-06-06,2018-09-19,2025-06-30,2025-10-21,2018,2018,3008,8.235455167693361,100.0,0.0,0.0,0.05758553285,0.94241446715,200000000.0,True,False,False,True,False,Large,5-10,2018,2010,Early Stage,3.900000000000001,0.6500000000000001
