Loan Number,Country / Economy,Region,Loan Type,Loan Status,Board Approval Date,Original Principal Amount (US$),Cancelled Amount (US$),Disbursed Amount (US$),Repaid to IBRD (US$),Due to IBRD (US$),Agreement Signing Date,Effective Date (Most Recent),Last Disbursement Date,loan_age_days,loan_age_years,is_active,is_fully_repaid,is_cancelled,repayment_ratio,disbursed_percent,portfolio_status,risk_score,high_risk,anomaly_score,is_anomaly
LOAN-1823,Ghana,Latin America,Health,Cancelled,2001-11-24,596562057.95,279901683.48,554169933.7,459081610.88,476877355.07,2001-10-02,2002-12-04,2014-06-17,9055,24.791238877481177,False,False,True,0.8284130606200009,92.89392885701206,Cancelled,0.17158693937999914,1,0.669603090436301,True
LOAN-1339,Morocco,Europe & Central Asia,Education,Cancelled,2021-01-18,535776819.57,386643010.07,477018823.54,4999338.85,402249751.93,2020-12-20,2021-10-26,2029-01-22,2060,5.639972621492129,False,False,True,0.010480380654372195,89.03312090337212,Cancelled,0.9895196193456278,1,0.6611853584885712,True
LOAN-2010,Morocco,South Asia,Health,Cancelled,2012-06-24,489322372.21,356104476.75,483304000.0,430278222.37,101784199.55,2012-03-26,2012-09-12,2021-02-02,5190,14.209445585215606,False,False,True,0.8902848359831493,98.77005987222324,Cancelled,0.10971516401685066,1,0.6404818281665589,True
LOAN-2052,Bangladesh,South Asia,Climate,Cancelled,2001-05-13,597464019.8,452008359.22,575603760.67,142033939.19,55516506.26,2000-11-29,2002-05-01,2012-05-18,9250,25.32511978097194,False,False,True,0.246756447568503,96.34115889734788,Cancelled,0.753243552431497,1,0.6393212545651261,True
LOAN-1574,Brazil,Africa,Investment,Cancelled,2013-07-11,586923425.01,441519241.99,304234910.18,122785007.39,458738914.17,2013-03-20,2014-04-22,2017-08-09,4808,13.163586584531142,False,False,True,0.40358618712545014,51.835537178434556,Cancelled,0.5964138128745499,1,0.6357088538523612,True
LOAN-2191,Philippines,Africa,Investment,Cancelled,2011-07-25,591453433.71,430330137.13,536096858.63,163910624.64,363070515.72,2011-06-30,2012-06-04,2013-09-16,5525,15.126625598904859,False,False,True,0.3057481535312013,90.64058606731459,Cancelled,0.6942518464687987,1,0.6280705064632001,True
LOAN-1680,Egypt,Africa,Health,Disbursing&Repaying,2023-12-03,589855584.69,0.0,589855584.69,525030497.82,279708291.32,2023-09-25,2024-06-29,2031-06-15,1011,2.7679671457905544,True,False,False,0.8901000710130277,100.0,Partially Repaid,0.10989992898697232,0,0.627778636380658,True
LOAN-1727,Ghana,Latin America,Investment,Disbursing&Repaying,2002-12-07,564991244.63,0.0,564991244.63,507320002.21,401848805.92,2002-10-22,2003-03-13,2008-01-03,8677,23.756331279945243,True,False,False,0.8979254227952371,100.0,Partially Repaid,0.10207457720476287,1,0.6264398432189207,True
LOAN-1355,Egypt,Latin America,Climate,Cancelled,2008-10-23,547334394.36,426140270.67,527467937.48,307444786.79,337339033.6,2008-07-30,2009-07-09,2013-08-11,6530,17.87816563997262,False,False,True,0.5828691470022429,96.37032551129371,Cancelled,0.4171308529977571,1,0.6204938621256323,True
LOAN-1144,Bangladesh,Africa,Investment,Cancelled,2011-12-18,584365532.67,371801865.77,465717463.3,208534799.05,434319660.27,2011-11-18,2012-08-24,2016-10-30,5379,14.726899383983573,False,False,True,0.447771053231192,79.69625812325206,Cancelled,0.552228946768808,1,0.6201408825396477,True
