Loan Number,Loan Status,loan_age_years,repayment_ratio,hazard_score,expected_repayment_years,event_observed
LOAN-1000,Disbursing&Repaying,2.2258726899383983,0.12558413568432236,1.0,7.597952011516787,0
LOAN-1001,Disbursing&Repaying,2.245037645448323,0.023882372732754932,1.0,8.12562578178455,0
LOAN-1002,Effective,22.105407255304584,0.13993154982689274,1.0,27.40574950617012,0
LOAN-1003,Fully Repaid,23.15400410677618,0.413482391772101,1.0,27.086592147915677,1
LOAN-1004,Repaying,22.16016427104723,0.26044916742866603,1.0,26.857918433903897,0
LOAN-1005,Disbursing,19.014373716632445,0.6316382820863825,1.0,21.856182306200534,0
LOAN-1006,Effective,24.18069815195072,0.6193457625576084,1.0,27.083969339162675,0
LOAN-1007,Disbursing&Repaying,4.295687885010267,0.7887308638390534,0.3020237630292628,6.352033565815,0
LOAN-1008,Cancelled,8.774811772758385,0.2364674476952214,1.0,13.592474534282278,0
LOAN-1009,Cancelled,23.84120465434634,0.14398380154432555,1.0,29.12128564662471,0
LOAN-1010,Disbursing&Repaying,11.430527036276523,0.7963096050838535,0.4365192515280319,13.448979010857254,0
LOAN-1011,Repaying,3.917864476386037,0.23705014568141988,1.0,8.732613747978938,0
LOAN-1012,Disbursing,12.150581793292266,0.8581497729032277,0.3142065057704138,13.859832928776129,0
LOAN-1013,Fully Repaid,23.586584531143053,0.8522545009560692,0.4962266692734895,25.325312026362706,1
LOAN-1014,Cancelled,17.66735112936345,0.3808241461652853,1.0,21.763230398537022,0
LOAN-1015,Cancelled,16.366872005475702,0.057623306715978005,1.0,22.07875547189581,0
LOAN-1016,Disbursing&Repaying,4.914442162902122,0.06377161490380098,1.0,10.595584088383116,0
LOAN-1017,Fully Repaid,10.798083504449007,0.1713689229166891,1.0,15.941238889865563,1
LOAN-1018,Repaying,2.6338124572210813,0.7755052827083346,0.2836224155899767,4.756286043679408,0
LOAN-1019,Cancelled,22.297056810403834,0.3988176705221942,1.0,26.302968457792865,0
LOAN-1020,Repaying,9.689253935660506,0.7781853546320302,0.4367364879298439,11.798327162500355,0
LOAN-1021,Fully Repaid,19.745379876796715,0.7050253756333876,0.8774132255800302,22.22025299862978,1
LOAN-1022,Cancelled,19.627652292950035,0.525759835013498,1.0,22.998853117882547,0
LOAN-1023,Disbursing,23.01163586584531,0.512707869151603,1.0,26.448096520087294,0
LOAN-1024,Fully Repaid,20.8186173853525,0.6445726207093686,1.0,23.595754281805657,1
LOAN-1025,Cancelled,17.127994524298426,0.5066942813313063,1.0,20.594523117641895,0
LOAN-1026,Disbursing&Repaying,2.9623545516769334,0.6331859325791089,0.47547739964523167,5.796424888781389,0
LOAN-1027,Effective,17.242984257357975,0.6681750156130165,0.9039902825852647,19.902109179292893,0
LOAN-1028,Effective,24.711841204654345,0.045719004265454985,1.0,30.48324618332707,0
LOAN-1029,Disbursing&Repaying,20.00273785078713,0.008702729653385017,1.0,25.959224202520204,0
LOAN-1030,Disbursing,10.639288158795345,0.8090833398096541,0.3940383963983361,12.593871459747074,0
LOAN-1031,Repaying,19.40041067761807,0.5585953591214561,1.0,22.60743388201079,0
LOAN-1032,Disbursing&Repaying,21.83983572895277,0.7296743849041858,0.8607123177978839,24.19146380443184,0
LOAN-1033,Disbursing&Repaying,18.026009582477755,0.7841907322613759,0.6048272605630185,20.105055921170877,0
LOAN-1034,Disbursing,21.516769336071185,0.8830347184770352,0.3686367798087911,23.10159574368601,0
LOAN-1035,Cancelled,21.503080082135522,0.7077853603742125,0.9205661193303557,23.96415328026446,0
LOAN-1036,Disbursing&Repaying,17.8507871321013,0.6181714322246147,1.0,20.759929970978227,0
