Loan Number,Country / Economy,Region,Loan Type,Loan Status,Board Approval Date,Original Principal Amount (US$),Cancelled Amount (US$),Disbursed Amount (US$),Repaid to IBRD (US$),Due to IBRD (US$),Agreement Signing Date,Effective Date (Most Recent),Last Disbursement Date
LOAN-1000,Indonesia,South Asia,Investment,Disbursing&Repaying,2024-06-18,446222547.36,0.0,265910032.41,33394081.59,56612871.32,2024-01-09,2025-02-19,2025-12-30
LOAN-1001,India,South Asia,Education,Disbursing&Repaying,2024-06-11,135089595.01,0.0,108650430.97,2594830.09,26900153.03,2024-04-06,2025-02-25,2031-07-03
LOAN-1002,India,Latin America,Investment,Effective,2004-08-01,420392940.02,0.0,282588307.99,39543019.9,322823860.24,2004-04-16,2004-10-19,2013-06-15
LOAN-1003,Ghana,Europe & Central Asia,Health,Fully Repaid,2003-07-15,162389916.0,0.0,70600697.42,29192145.23,23322378.37,2003-04-21,2004-06-30,2012-06-19
LOAN-1004,Pakistan,South Asia,Education,Repaying,2004-07-12,32265508.28,0.0,18788806.27,4893528.95,3544171.93,2004-04-22,2005-03-31,2013-07-13
LOAN-1005,Mexico,Africa,Health,Disbursing,2007-09-04,216386066.64,0.0,202567682.61,127949503.05,121751946.36,2007-02-20,2008-02-06,2012-02-28
LOAN-1006,Egypt,East Asia,Agriculture,Effective,2002-07-05,165618956.94,0.0,165618956.94,102575399.18,35560274.88,2002-06-17,2003-01-12,2012-04-29
LOAN-1007,Nigeria,South Asia,Education,Disbursing&Repaying,2022-05-24,130534791.93,0.0,130534791.93,102956819.2,37334048.37,2021-12-01,2023-02-12,2026-06-02
LOAN-1008,Nigeria,Latin America,Infrastructure,Cancelled,2017-11-30,151743367.08,50316955.69,128844459.51,30467520.49,74117453.23,2017-10-16,2018-09-16,2029-10-20
LOAN-1009,Kenya,South Asia,Education,Cancelled,2002-11-06,517356231.25,221931115.75,270201219.67,38904598.79,289906208.6,2002-06-30,2003-09-02,2009-04-22
LOAN-1010,Jordan,South Asia,Investment,Disbursing&Repaying,2015-04-05,409768629.1,0.0,201459220.19,160423912.07,251253056.38,2015-01-10,2015-12-13,2019-08-17
LOAN-1011,Egypt,South Asia,Investment,Repaying,2022-10-09,572520476.88,0.0,572520476.88,135716062.45,243572873.96,2022-04-22,2023-04-09,2034-12-23
LOAN-1012,Pakistan,Latin America,Education,Disbursing,2014-07-16,227478742.29,0.0,120390674.09,103313229.63,168749545.49,2014-07-02,2014-10-11,2023-07-02
LOAN-1013,Nepal,Latin America,Health,Fully Repaid,2003-02-07,39465474.06,0.0,39465474.06,33634627.9,4508539.27,2002-12-27,2003-05-13,2014-08-01
LOAN-1014,Jordan,Latin America,Climate,Cancelled,2009-01-08,162708694.22,62973109.28,162708694.22,61963399.55,33981491.8,2008-07-11,2010-01-05,2018-03-21
LOAN-1015,Egypt,Europe & Central Asia,Health,Cancelled,2010-04-28,273634254.13,90882262.67,163722075.8,9434207.39,17998483.24,2010-03-31,2011-05-25,2012-06-18
LOAN-1016,Philippines,South Asia,Agriculture,Disbursing&Repaying,2021-10-10,543724907.74,0.0,543724907.74,34674215.43,124243031.28,2021-05-15,2022-01-15,2035-05-27
LOAN-1017,Tanzania,Latin America,Education,Fully Repaid,2015-11-22,471848557.45,0.0,471848557.45,80860179.07,57894926.52,2015-07-30,2016-08-17,2017-12-04
LOAN-1018,Indonesia,South Asia,Education,Repaying,2024-01-21,244559662.85,0.0,164207649.76,127343899.85,57836465.03,2023-12-07,2024-09-23,2028-12-28
LOAN-1019,Nigeria,East Asia,Investment,Cancelled,2004-05-23,153634836.49,90842271.79,153634836.49,61272287.6,106931663.48,2003-12-27,2004-06-29,2007-04-22
LOAN-1020,Philippines,Latin America,Investment,Repaying,2016-12-31,246816364.48,0.0,193772253.58,150790729.87,179394068.64,2016-09-13,2017-06-14,2028-01-10
LOAN-1021,Nepal,East Asia,Agriculture,Fully Repaid,2006-12-11,419471944.64,0.0,412929966.71,291126104.89,229200931.98,2006-09-17,2007-05-01,2009-01-28
LOAN-1022,Jordan,South Asia,Investment,Cancelled,2007-01-23,450045458.43,349445600.87,200599760.53,105467297.0,192231421.25,2006-12-24,2007-05-28,2009-06-02
LOAN-1023,Kenya,Latin America,Education,Disbursing,2003-09-05,245246453.03,0.0,245246453.03,125739786.35,118745706.74,2003-03-11,2004-07-29,2017-03-05
LOAN-1024,Peru,Africa,Climate,Fully Repaid,2005-11-14,561150223.35,0.0,316156165.64,203785608.24,128511517.88,2005-05-23,2006-05-16,2016-12-11
LOAN-1025,Vietnam,South Asia,Health,Cancelled,2009-07-24,10542696.85,3786095.91,9456033.72,4791318.21,1317688.84,2009-04-16,2009-09-27,2015-11-11
LOAN-1026,Ghana,Africa,Investment,Disbursing&Repaying,2023-09-23,98859365.25,0.0,98859365.25,62596359.38,50295525.01,2023-03-27,2024-08-01,2031-04-06
LOAN-1027,Indonesia,Latin America,Climate,Effective,2009-06-12,162357223.28,0.0,162357223.28,108483040.2,27046429.41,2009-03-07,2009-10-24,2016-03-09
LOAN-1028,Peru,East Asia,Investment,Effective,2001-12-23,154417144.98,0.0,154417144.98,7059798.11,81179152.34,2001-09-19,2002-03-29,2008-09-02
LOAN-1029,Mexico,East Asia,Health,Disbursing&Repaying,2006-09-08,333249850.57,0.0,247321221.7,2152369.73,35468746.37,2006-08-20,2007-04-15,2019-11-25
LOAN-1030,Morocco,East Asia,Agriculture,Disbursing,2016-01-19,80830083.97,0.0,52265272.24,42286961.02,52304478.77,2015-07-19,2016-06-24,2019-03-06
LOAN-1031,Ghana,Europe & Central Asia,Agriculture,Repaying,2007-04-16,531060147.36,0.0,385072728.17,215099838.88,88110846.34,2006-12-22,2007-05-28,2012-02-18
LOAN-1032,Vietnam,East Asia,Education,Disbursing&Repaying,2004-11-06,482329907.67,0.0,482329907.67,351943778.7,120632775.34,2004-10-18,2005-08-03,2010-08-29
LOAN-1033,Pakistan,East Asia,Education,Disbursing&Repaying,2008-08-30,213046762.55,0.0,213046762.55,167069296.73,46272193.15,2008-05-28,2009-02-18,2011-01-15
LOAN-1034,Nigeria,Africa,Infrastructure,Disbursing,2005-03-04,386681634.47,0.0,278311286.53,245758528.55,174842663.62,2005-01-08,2006-01-25,2011-12-12
LOAN-1035,Brazil,South Asia,Education,Cancelled,2005-03-09,359959896.72,266263357.8,243530756.3,172367504.11,135811217.86,2005-01-10,2005-08-16,2007-01-01
LOAN-1036,Colombia,South Asia,Infrastructure,Disbursing&Repaying,2008-11-02,314352607.4,0.0,314352607.4,194323801.54,237398253.02,2008-07-05,2009-01-06,2017-01-23
LOAN-1037,Vietnam,South Asia,Health,Fully Repaid,2013-04-06,433253786.49,0.0,277394122.49,77214372.73,154366019.85,2013-02-23,2013-08-12,2023-07-07
LOAN-1038,Bangladesh,Latin America,Education,Effective,2009-06-05,371231374.99,0.0,237870178.59,117304130.47,18674591.91,2008-12-29,2010-05-11,2017-06-22
LOAN-1039,Egypt,East Asia,Climate,Disbursing&Repaying,2007-08-12,268085080.59,0.0,153066158.08,65185912.38,194599104.77,2007-07-12,2008-02-03,2019-12-29
LOAN-1040,Vietnam,South Asia,Investment,Repaying,2006-08-11,491961961.4,0.0,491961961.4,297890889.94,107484095.06,2006-07-21,2007-01-13,2018-02-01
LOAN-1041,Kenya,East Asia,Agriculture,Fully Repaid,2017-12-04,251592401.54,0.0,227392308.26,39791769.56,143977698.73,2017-10-18,2018-12-04,2018-11-14
LOAN-1042,Indonesia,East Asia,Investment,Cancelled,2011-03-06,135210476.4,64073147.81,135210476.4,84685106.54,53869532.22,2010-10-29,2012-03-11,2023-11-29
LOAN-1043,Jordan,Europe & Central Asia,Health,Cancelled,2019-02-21,193792284.69,90607227.53,193792284.69,77190583.7,128146094.06,2019-01-02,2019-11-21,2030-01-20
LOAN-1044,Nigeria,Latin America,Education,Repaying,2012-04-26,504718418.27,0.0,313858685.32,219672001.28,208674700.88,2012-03-28,2013-05-26,2019-07-19
LOAN-1045,Philippines,Africa,Climate,Fully Repaid,2006-11-08,204829284.29,0.0,204829284.29,14854197.55,33412366.01,2006-09-05,2007-01-09,2016-12-23
LOAN-1046,Colombia,Africa,Health,Cancelled,2000-11-16,327853628.6,140396306.07,240191924.5,44711955.06,119701864.06,2000-11-05,2001-06-14,2008-05-24
LOAN-1047,Bangladesh,East Asia,Infrastructure,Fully Repaid,2009-11-04,325241237.73,0.0,321243128.05,231256937.93,235266017.29,2009-07-06,2010-08-09,2011-04-25
LOAN-1048,Bangladesh,Africa,Investment,Repaying,2023-12-17,402979804.27,0.0,402979804.27,262647422.83,274179095.91,2023-08-29,2024-11-14,2037-06-09
