Country / Economy,commitments,loans,outstanding,avg_risk
Albania,2345510000.0,41,1237264647.63,0.5743902439024391
Algeria,5911830000.0,128,0.0,0.059375
Angola,10031000000.0,37,5926827244.74,0.6310810810810812
Antigua And Barbuda,12000000.0,2,3719058.89,0.7000000000000002
Argentina,48246653000.0,295,12715786361.63,0.2332203389830509
Armenia,2104500000.0,47,1056981821.91,0.5957446808510639
Australia,417730000.0,7,0.0,0.0
Austria,106336428.57,9,0.0,0.0
Azerbaijan,3802800000.0,31,850243363.5699999,0.3064516129032258
"Bahamas, The",142800000.0,6,96430000.0,0.10833333333333335
Bangladesh,54895633.38,1,0.0,0.0
Barbados,537350000.0,25,227451874.06,0.18400000000000002
Belarus,2196420000.0,27,1000789547.14,0.48333333333333345
Belgium,76000000.0,4,0.0,0.0
Belize,212400000.0,22,46979905.56,0.1863636363636364
Bhutan,215000000.0,2,0.0,0.5
Bolivia,2226201255.0,28,1019888354.48,0.2678571428571429
Bosnia And Herzegovina,2837989197.32,62,911417258.5,0.31774193548387103
Botswana,1673261341.0,32,634880658.36,0.184375
Brazil,76015748349.75,530,16097424580.27,0.19009433962264152
Bulgaria,3301265000.0,56,60961943.120000005,0.08392857142857144
Burundi,4800000.0,1,0.0,0.0
Cabo Verde,62000000.0,3,43061454.56,0.6333333333333334
Cameroon,3174100000.0,79,860515560.1700001,0.07784810126582278
Caribbean,83000000.0,8,0.0,0.125
Chad,39500000.0,1,0.0,0.0
Chile,5244107000.0,115,221879127.09,0.08956521739130435
China,60175947142.81,497,13785169829.92,0.2575452716297787
Colombia,35779488070.88,287,16938244252.81,0.12386759581881535
"Congo, Democratic Republic Of",330000000.0,10,0.0,0.0
"Congo, Republic Of",875600000.0,29,311847912.45,0.31034482758620696
Costa Rica,4917770500.0,68,1938357193.32,0.16838235294117648
Cote D'Ivoire,3705500000.0,103,262792697.49,0.025242718446601947
Croatia,5770159331.1,92,1408468677.04,0.15597826086956523
Cyprus,418800000.0,38,0.0,0.07894736842105263
Czechia,626000000.0,5,0.0,0.0
Denmark,85000000.0,3,0.0,0.0
Dominica,7760000.0,6,0.0,0.25
Dominican Republic,5346440000.0,82,2424990803.0299997,0.2774390243902439
Eastern And Southern Africa,110955000.0,11,0.0,0.0
Ecuador,12565580000.0,154,8048475684.28,0.2087662337662338
"Egypt, Arab Republic Of",25547450000.0,126,12366664290.69,0.2694444444444445
El Salvador,4950668133.0,75,1501567756.14,0.27133333333333337
Estonia,150700000.0,16,-5238202.39,0.15625
Eswatini,614300000.0,34,303914121.25,0.29558823529411765
Ethiopia,108600000.0,12,0.0,0.0
Fiji,484350000.0,22,271844431.84000003,0.2431818181818182
Finland,316779464.39,18,0.0,0.0
France,250000000.0,1,0.0,0.0
Gabon,1611500000.0,40,640007124.6899999,0.28250000000000003
Georgia,2948800000.0,43,1854840269.69,0.6139534883720932
Ghana,190500000.0,11,0.0,0.03636363636363637
Greece,490800000.0,17,0.0,0.058823529411764705
Grenada,40198161.0,12,12425493.110000001,0.18750000000000003
Guatemala,5797610000.0,83,1920856428.9099998,0.16927710843373495
Guinea,75200000.0,3,0.0,0.3333333333333333
Guyana,79950000.0,12,0.0,0.0
Haiti,2600000.0,1,0.0,0.0
Honduras,717250000.0,45,0.0,0.0
Hungary,5946880000.0,86,0.0,0.06453488372093023
Iceland,47014000.0,10,0.0,0.0
India,90899256777.0,439,23671617567.39,0.307744874715262
Indonesia,72446978591.0,657,21835551900.5,0.14885844748858448
"Iran, Islamic Republic Of",3553100000.0,56,116329336.08,0.05
Iraq,7034520000.0,20,2428475918.04,0.35750000000000004
Ireland,152500000.0,10,0.0,0.0
Israel,284500000.0,11,0.0,0.0
Italy,399628000.0,8,0.0,0.0
Jamaica,3296100000.0,105,1143660587.84,0.18380952380952384
Japan,862900000.0,31,0.0,0.0
Jordan,12989200000.0,115,6959552546.42,0.2808695652173913
Kazakhstan,11874442440.0,55,3920740059.75,0.21272727272727274
Kenya,3801214900.0,67,2337226203.5,0.12238805970149255
"Korea, Republic Of",15647000000.0,127,0.0,0.015748031496062992
Kosovo,385645133.96,1,-100205046.82,0.15
Latvia,984615000.0,24,107874650.0,0.06458333333333334
Lebanon,4856630000.0,53,1182416359.74,0.3528301886792453
Lesotho,155000000.0,2,0.0,0.0
Liberia,155950000.0,22,0.0,0.0
Lithuania,490790000.0,19,-20404194.0,0.02368421052631579
Luxembourg,12000000.0,1,0.0,0.0
Madagascar,32850000.0,5,0.0,0.0
Malawi,124100000.0,10,0.0,0.0
Malaysia,4150620000.0,127,0.0,0.027559055118110236
Malta,7500000.0,1,0.0,0.0
Mauritania,146000000.0,3,0.0,0.0
Mauritius,1026530000.0,67,85909723.88,0.05671641791044776
Mexico,62270150464.69,384,13480853919.210001,0.10039062500000001
Moldova,1376080000.0,32,628324963.73,0.4828125000000001
Mongolia,358800000.0,6,76944311.9,0.6333333333333334
Montenegro,1070603204.6,28,195445990.52,0.4446428571428572
