year,commitments
1947,497000000.0
1948,28000000.0
1949,219145000.0
1950,279230000.0
1951,208408000.0
1952,292483464.39
1953,256892000.0
1954,292700000.0
1955,396500000.0
1956,507408000.0
1957,513381428.57
1958,759040000.0
1959,620850000.0
1960,602040000.0
1961,764350000.0
1962,614100000.0
1963,772950000.0
1964,727750000.0
1965,1167200000.0
1966,800800000.0
1967,591450000.0
1968,1104985000.0
1969,1210200000.0
1970,1613125000.0
1971,1880516347.96
1972,2047154240.0
1973,2468003375.03
1974,3421940923.22
1975,4564217178.38
1976,5155568503.96
1977,5074344402.86
1978,6777667701.73
1979,7351484302.8
1980,8741342010.88
1981,8920003080.07
1982,9639554569.14
1983,11548630462.83
1984,9490701764.2
1985,13156555784.81
1986,13710160000.0
1987,15093699361.59
1988,14790750000.0
1989,17407300000.0
1990,15226517552.31
1991,17020700000.0
1992,15550700000.0
1993,15228100000.0
1994,16824027142.81
1995,16114570000.0
1996,15982060000.0
1997,18367600000.0
1998,24997104000.0
1999,14038440000.0
2000,11079240000.0
2001,13796339432.3
2002,10523720000.0
2003,10443395303.0
2004,12557441000.0
2005,14357321805.0
2006,13399386070.88
2007,11252372000.0
2008,22552107880.0
2009,39706864739.0
2010,36120200507.0
2011,21126151327.0
2012,21162143796.99
2013,16117694319.7
2014,25832615000.0
2015,25736595837.0
2016,22335624800.0
2017,18859357115.0
2018,20322130000.0
2019,23275496000.0
2020,32110644500.0
2021,29543370000.0
2022,32294717576.0
2023,43529584745.0
2024,39989658152.0
2025,42011818184.0
2026,40132838711.75
2027,40132838711.75
2028,40132838711.75
2029,40132838711.75
2030,40132838711.75
2031,40132838711.75
