Region,Country / Economy,count,total_outstanding
EAST ASIA AND PACIFIC,China,110,8823849394.28
EAST ASIA AND PACIFIC,Fiji,6,258610692.86
EAST ASIA AND PACIFIC,Indonesia,77,13956870531.08
EAST ASIA AND PACIFIC,"Korea, Republic Of",2,0.0
EAST ASIA AND PACIFIC,Malaysia,2,0.0
EAST ASIA AND PACIFIC,Mongolia,4,76944311.9
EAST ASIA AND PACIFIC,New Zealand,1,0.0
EAST ASIA AND PACIFIC,Papua New Guinea,2,5234716.11
EAST ASIA AND PACIFIC,Philippines,39,6642650326.38
EAST ASIA AND PACIFIC,Thailand,3,0.0
EAST ASIA AND PACIFIC,Timor-Leste,1,11511520.51
EAST ASIA AND PACIFIC,Viet Nam,17,1509538750.71
EASTERN AND SOUTHERN AFRICA,Angola,29,4926827244.74
EASTERN AND SOUTHERN AFRICA,Botswana,4,330585544.2
EASTERN AND SOUTHERN AFRICA,Eswatini,10,273367147.41
EASTERN AND SOUTHERN AFRICA,Kenya,6,507226203.5
EASTERN AND SOUTHERN AFRICA,Mauritius,1,2211136.28
EASTERN AND SOUTHERN AFRICA,Mozambique,1,0.0
EASTERN AND SOUTHERN AFRICA,Seychelles,13,126778058.72
EASTERN AND SOUTHERN AFRICA,South Africa,4,3194942260.58
EASTERN AND SOUTHERN AFRICA,Sudan,1,0.0
EASTERN AND SOUTHERN AFRICA,Zimbabwe,7,320554690.96999997
EUROPE AND CENTRAL ASIA,Albania,28,1064777078.02
EUROPE AND CENTRAL ASIA,Armenia,21,369486086.19
EUROPE AND CENTRAL ASIA,Azerbaijan,6,546230238.86
EUROPE AND CENTRAL ASIA,Belarus,15,726583795.84
EUROPE AND CENTRAL ASIA,Bosnia And Herzegovina,19,586738878.49
EUROPE AND CENTRAL ASIA,Bulgaria,1,0.0
EUROPE AND CENTRAL ASIA,Croatia,12,761768497.86
EUROPE AND CENTRAL ASIA,Cyprus,3,0.0
EUROPE AND CENTRAL ASIA,Georgia,23,1159476063.32
EUROPE AND CENTRAL ASIA,Greece,1,0.0
EUROPE AND CENTRAL ASIA,Hungary,2,0.0
EUROPE AND CENTRAL ASIA,Kazakhstan,8,956079030.15
EUROPE AND CENTRAL ASIA,Latvia,1,0.0
EUROPE AND CENTRAL ASIA,Moldova,20,587288323.73
EUROPE AND CENTRAL ASIA,Montenegro,12,186157988.03
EUROPE AND CENTRAL ASIA,North Macedonia,16,322005931.38
EUROPE AND CENTRAL ASIA,Poland,9,2379440804.75
EUROPE AND CENTRAL ASIA,Portugal,3,0.0
EUROPE AND CENTRAL ASIA,Romania,12,1858959658.26
EUROPE AND CENTRAL ASIA,Russian Federation,4,0.0
EUROPE AND CENTRAL ASIA,Serbia,27,978815502.48
EUROPE AND CENTRAL ASIA,Spain,1,0.0
EUROPE AND CENTRAL ASIA,Turkiye,61,9460791357.1
EUROPE AND CENTRAL ASIA,Ukraine,47,10679293209.76
EUROPE AND CENTRAL ASIA,Uzbekistan,20,3359041243.98
EUROPE AND CENTRAL ASIA,"Yugoslavia, Former",18,0.0
LATIN AMERICA AND CARIBBEAN,Antigua And Barbuda,2,3719058.89
LATIN AMERICA AND CARIBBEAN,Argentina,58,9090311691.11
LATIN AMERICA AND CARIBBEAN,"Bahamas, The",1,96430000.0
LATIN AMERICA AND CARIBBEAN,Barbados,3,111016156.0
LATIN AMERICA AND CARIBBEAN,Belize,4,40173130.59
LATIN AMERICA AND CARIBBEAN,Bolivia,7,553938355.9300001
LATIN AMERICA AND CARIBBEAN,Brazil,75,9447812369.4
LATIN AMERICA AND CARIBBEAN,Caribbean,1,0.0
LATIN AMERICA AND CARIBBEAN,Chile,6,71789527.06
LATIN AMERICA AND CARIBBEAN,Colombia,24,5875702332.84
LATIN AMERICA AND CARIBBEAN,Costa Rica,8,1022666448.39
LATIN AMERICA AND CARIBBEAN,Dominica,1,0.0
LATIN AMERICA AND CARIBBEAN,Dominican Republic,18,441194343.78
LATIN AMERICA AND CARIBBEAN,Ecuador,26,3886551481.31
LATIN AMERICA AND CARIBBEAN,El Salvador,16,832869741.0
LATIN AMERICA AND CARIBBEAN,Grenada,1,4872000.0
LATIN AMERICA AND CARIBBEAN,Guatemala,7,1073673717.66
LATIN AMERICA AND CARIBBEAN,Jamaica,21,720009515.52
LATIN AMERICA AND CARIBBEAN,Mexico,29,8429974561.52
LATIN AMERICA AND CARIBBEAN,Panama,12,1900369500.49
LATIN AMERICA AND CARIBBEAN,Paraguay,12,525208031.03000003
LATIN AMERICA AND CARIBBEAN,Peru,32,2406094818.28
LATIN AMERICA AND CARIBBEAN,Suriname,2,36745230.06
LATIN AMERICA AND CARIBBEAN,Uruguay,11,439152441.75
LATIN AMERICA AND CARIBBEAN,"Venezuela, Republica Bolivariana De",3,0.0
"MID EAST,NORTH AFRICA,AFG,PAK",Algeria,3,0.0
"MID EAST,NORTH AFRICA,AFG,PAK","Egypt, Arab Republic Of",33,9997067860.48
"MID EAST,NORTH AFRICA,AFG,PAK","Iran, Islamic Republic Of",2,116329336.08
"MID EAST,NORTH AFRICA,AFG,PAK",Iraq,6,1475656511.75
"MID EAST,NORTH AFRICA,AFG,PAK",Jordan,42,6684750878.98
"MID EAST,NORTH AFRICA,AFG,PAK",Lebanon,18,892322509.78
"MID EAST,NORTH AFRICA,AFG,PAK",Morocco,73,11624878937.04
"MID EAST,NORTH AFRICA,AFG,PAK",Pakistan,27,2833523711.8
"MID EAST,NORTH AFRICA,AFG,PAK",Syrian Arab Republic,4,0.0
"MID EAST,NORTH AFRICA,AFG,PAK",Tunisia,34,4115969018.3
SOUTH ASIA,India,151,18120500585.37
SOUTH ASIA,Sri Lanka,9,777671616.03
WESTERN AND CENTRAL AFRICA,Cabo Verde,2,38061454.56
WESTERN AND CENTRAL AFRICA,Cameroon,6,860515560.1700001
WESTERN AND CENTRAL AFRICA,"Congo, Republic Of",9,253369213.81
WESTERN AND CENTRAL AFRICA,Cote D'Ivoire,2,262792697.49
WESTERN AND CENTRAL AFRICA,Gabon,12,595931827.63
WESTERN AND CENTRAL AFRICA,Guinea,1,0.0
WESTERN AND CENTRAL AFRICA,Nigeria,4,861961266.7
WESTERN AND CENTRAL AFRICA,Senegal,1,0.0
