Loan Status,count,total_amount,pct_portfolio
Approved,71,21508611823.75,0.02160370638337753
Disbursing,531,123451772979.0,0.12399758188953662
Disbursing&Repaying,203,37952313351.0,0.03812010932753877
Effective,61,17631386341.0,0.017709338787836617
Fully Cancelled,220,15584522110.41,0.015653424895919317
Fully Disbursed,266,78984194629.89,0.07933340206677214
Fully Repaid,6622,435689826735.11,0.43761611247344956
Fully Transferred,210,232640000.0,0.00023366855537740102
Repaying,1207,249863411794.3,0.25096811586847806
Signed,48,9960027755.0,0.010004063346929456
Terminated,79,4739521879.7,0.0047604764047845735
