Country / Economy,commitments
India,90899256777.0
Brazil,76015748349.75
Indonesia,72446978591.0
Turkiye,63912235500.0
Mexico,62270150464.69
China,60175947142.81
Argentina,48246653000.0
Philippines,38039565115.0
Colombia,35779488070.88
Ukraine,31365148577.0
Morocco,29699314000.0
"Egypt, Arab Republic Of",25547450000.0
Peru,19728489000.0
Romania,18803550000.0
Poland,16450600000.0
"Korea, Republic Of",15647000000.0
Pakistan,14583350000.0
Russian Federation,14451100000.0
Tunisia,13839030000.0
Jordan,12989200000.0
