approval_year,loans,commitments,disbursed,repaid
1947,5,497000000.0,496761983.02,122801194.77
1948,8,28000000.0,28000000.0,12922000.0
1949,12,219145000.0,197328369.93,135468310.21
1950,17,279230000.0,261148390.01,194974644.61
1951,17,208408000.0,207441561.03,111038366.5
1952,16,292483464.39,262739463.44,189977584.03
1953,22,256892000.0,244581823.5,142778780.89000002
1954,17,292700000.0,285597366.38,184399542.68
1955,26,396500000.0,394596995.94,221239728.17
1956,24,507408000.0,506392889.96000004,314090366.87
1957,28,513381428.57,507406312.0,379035842.34
1958,30,759040000.0,728772604.77,520296762.29999995
1959,30,620850000.0,612996270.74,412171727.96
1960,30,602040000.0,572347654.74,441635240.92
1961,35,764350000.0,717965103.9,589368388.09
1962,22,614100000.0,607296762.25,572054194.6
1963,37,772950000.0,738493227.13,682041792.51
1964,32,727750000.0,706369304.82,656762446.42
1965,52,1167200000.0,1109022875.58,1023235679.98
1966,39,800800000.0,734761556.09,662678103.38
1967,45,591450000.0,527184051.92,490216455.7
1968,58,1104985000.0,1029669596.92,990481531.13
1969,78,1210200000.0,1150956588.9,1134786181.22
1970,76,1613125000.0,1561249542.61,1528651295.36
1971,78,1880516347.96,1812270942.45,1682615728.48
1972,85,2047154240.0,1885134925.24,1752862906.57
1973,88,2468003375.03,2293521128.81,2168516900.11
1974,142,3421940923.22,3219824439.76,3070237052.64
1975,135,4564217178.38,4164788041.11,4005668554.05
1976,192,5155568503.96,4675101488.36,4558338379.25
1977,188,5074344402.86,4627229845.89,4538775826.38
1978,185,6777667701.73,5941444912.19,5846550904.34
1979,189,7351484302.8,6490975482.87,6371162673.24
1980,193,8741342010.88,7492654271.36,7408232002.72
1981,151,8920003080.07,7673963899.13,7672773639.21
1982,183,9639554569.14,7539983260.54,7532306498.06
1983,204,11548630462.83,9961513631.55,9959082097.93
1984,158,9490701764.2,8085697459.08,8097195491.94
1985,235,13156555784.81,10514910908.28,10535981417.3
1986,196,13710160000.0,12148234627.61,12162203731.84
1987,209,15093699361.59,12126426494.04,12131785378.45
1988,192,14790750000.0,11724756160.81,11696844245.23
1989,225,17407300000.0,15022611230.94,14947217222.57
1990,225,15226517552.31,11987470559.76,11947760518.27
1991,276,17020700000.0,14313264829.25,14294466448.11
1992,239,15550700000.0,12293742489.93,12194837353.73
1993,257,15228100000.0,12572458500.96,12616299298.89
1994,284,16824027142.81,12425321107.6,12377817180.6
1995,265,16114570000.0,13155568649.6,13239236745.16
1996,227,15982060000.0,11947526493.63,12096968023.87
1997,151,18367600000.0,15364878351.96,15532683216.47
1998,164,24997104000.0,20087655094.16,20200054931.0
1999,108,14038440000.0,11443514833.12,11836764230.79
2000,103,11079240000.0,9050837489.59,9174770018.789999
2001,106,13796339432.3,12470308351.14,12933842794.8
2002,101,10523720000.0,8789403588.869999,8850746526.76
2003,98,10443395303.0,9528158994.08,9527490697.87
2004,99,12557441000.0,10750572157.73,10790872332.83
2005,135,14357321805.0,12770347283.71,12435024295.36
2006,102,13399386070.88,11769368120.4,11333215013.43
2007,111,11252372000.0,9905409249.92,9066808149.14
2008,133,22552107880.0,21350796337.95,13128388898.05
2009,178,39706864739.0,34610217961.82,19952998949.14
2010,159,36120200507.0,33187838424.1,13830701986.73
2011,108,21126151327.0,16509427537.27,7087962434.05
2012,102,21162143796.99,19456847786.0,9138249214.21
2013,94,16117694319.7,14389819224.36,5357083499.07
2014,128,25832615000.0,21844406041.32,6241003638.43
2015,117,25736595837.0,22884104505.81,6400510988.56
2016,103,22335624800.0,19992023748.15,5426933060.74
2017,136,18859357115.0,15702262234.4,2664483951.87
2018,108,20322130000.0,15745911535.28,2011630460.21
2019,116,23275496000.0,18385914278.83,1538779214.14
2020,161,32110644500.0,26107586406.65,2050763087.42
2021,135,29543370000.0,21979775684.0,1026984432.57
2022,137,32294717576.0,22375930713.17,632001611.3
2023,161,43529584745.0,27217355439.73,181823051.1
2024,138,39989658152.0,20670234707.75,178201156.54
2025,153,42011818184.0,14526393783.75,8066651.75
2026,116,40132838711.75,7358428628.87,0.0
