loan_number,predicted_probability,risk_band
LOAN-2111,0.9985362,High
LOAN-1270,0.9975159,High
LOAN-1800,0.9974712,High
LOAN-1695,0.9971398,High
LOAN-2033,0.997022,High
LOAN-1597,0.9965888,High
LOAN-2101,0.9963857,High
LOAN-1506,0.9958925,High
LOAN-1725,0.9945852,High
LOAN-1772,0.99450195,High
LOAN-2083,0.99403834,High
LOAN-1908,0.9940329,High
LOAN-1995,0.9940294,High
LOAN-1151,0.99394447,High
LOAN-1457,0.99376667,High
LOAN-1416,0.9934,High
LOAN-2131,0.9931798,High
LOAN-1467,0.9929923,High
LOAN-2000,0.9926004,High
LOAN-1218,0.9924005,High
LOAN-1137,0.99218494,High
LOAN-1594,0.99206454,High
LOAN-2014,0.9919023,High
LOAN-1234,0.9917052,High
LOAN-1002,0.9913089,High
LOAN-1232,0.99121463,High
LOAN-1212,0.9908551,High
LOAN-1827,0.9904945,High
LOAN-2120,0.9904274,High
LOAN-1050,0.99027014,High
LOAN-1733,0.9901779,High
LOAN-2118,0.98964256,High
LOAN-1590,0.98949754,High
LOAN-2023,0.98933464,High
LOAN-2057,0.9893245,High
LOAN-1871,0.9890826,High
LOAN-2173,0.98899233,High
LOAN-1609,0.98818576,High
LOAN-2177,0.9881804,High
LOAN-2020,0.9874378,High
LOAN-1097,0.9868787,High
LOAN-1532,0.98669124,High
LOAN-2021,0.98662287,High
LOAN-1547,0.98643064,High
LOAN-1577,0.98626953,High
LOAN-1365,0.985098,High
LOAN-1432,0.9850367,High
LOAN-1810,0.98497635,High
LOAN-2064,0.98483557,High
LOAN-1150,0.98476404,High
LOAN-2180,0.9844965,High
LOAN-1117,0.9844296,High
LOAN-1513,0.9842555,High
LOAN-1498,0.9837887,High
LOAN-1449,0.9836654,High
LOAN-1613,0.98342746,High
LOAN-1090,0.98314613,High
LOAN-1000,0.9830934,High
LOAN-1932,0.98283136,High
LOAN-1855,0.9827549,High
LOAN-1610,0.98264885,High
LOAN-1430,0.9826202,High
LOAN-1057,0.98235977,High
LOAN-1507,0.98229927,High
LOAN-2048,0.9819624,High
